file,model,dataset,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
clusters-4-v1.csv,"Neural Network Classifier (5,5,5)",test,0.9548611111111112,0.9710144927536232,0.9857142857142858,0.9342105263157895,0.9315068493150684,0.9556115385246917,0.9852941176470589,0.92,0.9594594594594594,0.9577464788732394,0.9556250139949395,0.9781021897810219,0.9517241379310345,0.9466666666666667,0.9444444444444444,0.955234359705792,0.9995989304812835,0.9964945226917058,0.9969689315483709,0.9968845330044784,0.9974867294314597
clusters-4-v1.csv,Neural Network Classifier (10),train,0.9435763888888888,0.9455782312925171,0.9275862068965517,0.9424460431654677,0.9586206896551724,0.9435577927524271,0.952054794520548,0.9438596491228071,0.916083916083916,0.9619377162629758,0.9434840189975617,0.9488054607508533,0.9356521739130435,0.9290780141843972,0.9602763385146805,0.9434529968407437,0.995412551768079,0.9952326028450597,0.9867811172661057,0.9968525342111488,0.9935697015225983
clusters-4-v1.csv,Neural Network Classifier (10),test,0.9444444444444444,0.9436619718309859,0.9722222222222222,0.9436619718309859,0.918918918918919,0.9446162712007782,0.9852941176470589,0.9333333333333333,0.9054054054054054,0.9577464788732394,0.9454448338147593,0.9640287769784173,0.9523809523809523,0.9241379310344827,0.9379310344827586,0.9446196737191528,0.9996657754010695,0.9958059467918623,0.9965900479919172,0.9969494385668852,0.9972528021879336
clusters-4-v2.csv,Logistic Regression,train,0.8637152777777778,0.8596491228070176,0.7943262411347518,0.8419243986254296,0.95578231292517,0.8629205188730922,0.839041095890411,0.7859649122807018,0.8566433566433567,0.972318339100346,0.8634919259787038,0.8492201039861352,0.7901234567901234,0.8492201039861352,0.9639794168096055,0.8631357703929998,0.9713921631092705,0.9466278152127723,0.960730954957283,0.9971372094608411,0.9689720356850416
clusters-4-v2.csv,Logistic Regression,test,0.8611111111111112,0.8051948051948052,0.8813559322033898,0.8148148148148148,0.9577464788732394,0.8647780077715623,0.9117647058823529,0.6933333333333334,0.8918918918918919,0.9577464788732394,0.8636841024952043,0.8551724137931035,0.7761194029850746,0.8516129032258064,0.9577464788732394,0.860162799719306,0.9794117647058823,0.9573708920187793,0.9753094215711038,0.9992860388135263,0.977844529277323
clusters-4-v2.csv,SVC (linear),train,0.8645833333333334,0.8687943262411347,0.7985865724381626,0.8361774744027304,0.9523809523809523,0.863984831365745,0.839041095890411,0.7929824561403509,0.8566433566433567,0.9688581314878892,0.8643812600405019,0.8536585365853658,0.795774647887324,0.846286701208981,0.9605488850771869,0.8640671926897143,0.9711492513539344,0.9462716768854085,0.960799593016683,0.9970289526757469,0.9688123684829432
clusters-4-v2.csv,SVC (linear),test,0.8645833333333334,0.8133333333333334,0.8813559322033898,0.8192771084337349,0.9577464788732394,0.8679282132109244,0.8970588235294118,0.6933333333333334,0.918918918918919,0.9577464788732394,0.8667643886637258,0.8531468531468531,0.7761194029850746,0.8662420382165605,0.9577464788732394,0.863313693305432,0.9790775401069519,0.956056338028169,0.9761934832028291,0.9991562276887129,0.9776208972566658
clusters-4-v2.csv,SVC (rbf),train,0.8645833333333334,0.875,0.8100358422939068,0.8211920529801324,0.9518900343642611,0.8645294824095751,0.839041095890411,0.7929824561403509,0.8671328671328671,0.9584775086505191,0.8644084819535369,0.8566433566433567,0.8014184397163121,0.8435374149659864,0.9551724137931035,0.8641929062796897,0.9724155782096209,0.9462473947267245,0.9602060756795167,0.9964876687502757,0.9688391793415344
clusters-4-v2.csv,SVC (rbf),test,0.8715277777777778,0.8309859154929577,0.8852459016393442,0.8045977011494253,0.9855072463768116,0.8765841911646347,0.8676470588235294,0.72,0.9459459459459459,0.9577464788732394,0.8728348709106787,0.8489208633093526,0.7941176470588235,0.8695652173913043,0.9714285714285714,0.8710080747970129,0.9789438502673797,0.9596870109546166,0.9776458701692348,0.9989615110014929,0.978809560598181
clusters-4-v2.csv,Random Forest Classifier (1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clusters-4-v2.csv,Random Forest Classifier (1),test,0.8333333333333334,0.7792207792207793,0.8363636363636363,0.8125,0.9078947368421053,0.8339947881066302,0.8823529411764706,0.6133333333333333,0.8783783783783784,0.971830985915493,0.8364739097009188,0.8275862068965517,0.7076923076923077,0.8441558441558441,0.9387755102040817,0.8295524672371963,0.969418449197861,0.9120500782472614,0.9653005809547865,0.9977607580969688,0.9611324666242194
